id,text,reading,kaeriten,okurigana,punctuation,okiji,okiji_reason,saidoku,saidoku_reading,meaning
001,鳥語花香,ちょうごかこう,,,鳥語、花香し,,,,,鳥が鳴き、花が香る。春の美しい景色。
002,天朗気清,てんろうきせい,,,天朗らかに、気清し,,,,,空が晴れ、空気が澄んでいる。
003,大器晩成,たいきばんせい,,,大器は晩成す,,,,,大人物は時間をかけて完成する。
004,転禍為福,かをてんじてふくとなす,"禍:下,為:上",禍を転じて福と為す,禍を転じて、福と為す,,,,,災いをうまく利用して幸いに変える。
005,少年易老学難成,しょうねんおいやすくがくなりがたし,"老:レ,成:レ",少年老い易く学成り難し,少年老い易く、学成り難し,,,,,若い時はすぐ過ぎ、学問はなかなか完成しない。
006,人不学不知道,ひとまなばざればみちをしらず,"不:レ,不:レ",人学ばざれば道を知らず,人学ばざれば、道を知らず,,,,,人は学ばなければ道理を知らない。
007,懸羊頭売狗肉,ようとうをかかげてくにくをうる,"頭:レ,肉:レ",羊頭を懸げて狗肉を売る,羊頭を懸げて、狗肉を売る,,,,,見かけと中身が違うこと。
008,百聞不如一見,ひゃくぶんはいっけんにしかず,"不:二,如:一",百聞は一見に如かず,百聞は、一見に如かず,,,,,何度聞くより一度見る方がよく分かる。
009,吾日三省吾身,われひにみたびわがみをかえりみる,身:レ,吾日に三たび吾が身を省みる,吾日に三たび、吾が身を省みる,,,,,毎日何度も自分を反省する。
010,君子恥其言之過其行,くんしはそのげんのおこないにすぐるをはず,過:レ,君子は其の言の其の行ひに過ぐるを恥づ,君子は、其の言の其の行ひに過ぐるを恥づ,之,連体修飾を作る助字,,,立派な人は言葉が行動を越えることを恥じる。
011,君子不以言挙人不以人廃言,くんしはげんをもってひとをあげずひとをもってげんをはいせず,"不:レ,以:二,言:一,不:レ,以:二,人:一",君子は言を以て人を挙げず、人を以て言を廃せず,君子は言を以て人を挙げず、人を以て言を廃せず,,,,,言葉だけで人を評価せず、人によって言葉を退けない。
012,悪称人之悪者,ひとのあくをしょうするをにくむ,"称:レ,者:レ",人の悪を称する者を悪む,人の悪を称する者を、悪む,之,連体修飾を作る助字,,,他人の悪事を言い立てる者を憎む。
013,不為児孫買美田,じそんのためにびでんをかわず,"不:レ,為:二,孫:一,買:レ",児孫の為に美田を買はず,児孫の為に、美田を買はず,,,,,子孫に財産を残しすぎない。
014,良薬苦於口,りょうやくはくちににがし,於:レ,良薬は口に苦し,良薬は口に苦し,於,場所・対象を示す置き字,,,役に立つ忠告は聞きづらい。
015,青取之於藍,あおはこれをあいよりとる,"取:レ,於:レ",青は之を藍より取る,青は之を藍より取りて,於,起点を示す置き字,,,弟子が師より優れることのたとえ。
016,不信於朋友,ほうゆうにしんぜられず,"不:レ,於:レ",朋友に信ぜられず,朋友に信ぜられず,於,受身の相手を示す置き字,,,友人から信用されない。
017,過而不改是謂過矣,あやまちてあらためざるこれをあやまちという,"不:レ,謂:レ",過ちて改めざる、是を過ちと謂ふ,過ちて改めざる、是を過ちと謂ふ,"而,矣",而は接続、矣は文末の助字,,,過ちを改めないことこそ本当の過ちである。
018,心不在焉視而不見,こころここにあらざればみれどもみえず,"不:レ,而:レ,不:レ",心焉に在らざれば、視れども見えず,心焉に在らざれば、視れども見えず,"焉,而",焉は指示・文末、而は接続の助字,,,心がそこになければ、見ても見えていない。
019,三人行必有我師焉,さんにんおこなえばかならずわがしあり,有:レ,三人行けば必ず我が師有り,三人行けば、必ず我が師有り,焉,文末の語気を表す助字,,,誰からでも学ぶ点はある。
020,未知生焉知死,いまだせいをしらずいずくんぞしをしらん,"未:レ,焉:レ",未だ生を知らず、焉んぞ死を知らん,未だ生を知らず、焉んぞ死を知らん,,,未,いまだ...ず,生を知らないのに、どうして死が分かるだろうか。
021,不知老将至,おいのまさにいたらんとするをしらず,"不:レ,将:レ",老いの将に至らんとするを知らず,老いの将に至らんとするを知らず,,,将,まさに...んとす,老いが近づいていることにも気づかない。
022,及時当勉励,ときにおよんでまさにつとめはげむべし,当:レ,時に及んで当に勉励すべし,時に及んで、当に勉励すべし,,,当,まさに...べし,よい時機を逃さず努力すべきである。
023,過猶不及,すぎたるはなおおよばざるがごとし,不:レ,過ぎたるは猶ほ及ばざるがごとし,過ぎたるは、猶ほ及ばざるがごとし,,,猶,なお...ごとし,やりすぎは足りないのと同じくらいよくない。
024,唯仁者宜在高位,ただじんしゃのみよろしくこういにあるべし,宜:レ,唯仁者のみ宜しく高位に在るべし,唯仁者のみ、宜しく高位に在るべし,,,宜,よろしく...べし,仁のある者こそ高い地位にいるべきである。
025,人生得意須尽歓,じんせいいをえなばすべからくかんをつくすべし,須:レ,人生意を得なば須く歓を尽くすべし,人生意を得なば、須く歓を尽くすべし,,,須,すべからく...べし,人生で思いがかなう時は、十分に楽しむべきである。
